ADDRESS,POINTS
248V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
249V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
250V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
251V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
252V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
253V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
254V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
255V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
256V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
257V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
258V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
259V 255 LES JARDINS PA SE,4758.552 -10191.789|4765.920 -10191.711|4773.280 -10191.478|4782.130 -10190.977|4790.966 -10190.232|4799.774 -10189.265|4808.561 -10188.053|4816.733 -10186.730|4824.877 -10185.195|4832.979 -10183.460|4841.032 -10181.526|4843.129 -10180.947|4843.318 -10180.892|4844.758 -10180.514|4854.706 -10177.778|4864.583 -10174.809|4867.023 -10173.786|4869.246 -10172.352|4871.175 -10170.551|4872.762 -10168.427|4873.887 -10166.181|4874.621 -10163.768|4874.943 -10161.266|4874.845 -10158.753|4872.308 -10136.736|4868.442 -10122.959|4865.010 -10109.071|4863.290 -10101.321|4861.696 -10093.548|4860.242 -10085.753|4858.914 -10077.936|4857.725 -10070.086|4856.670 -10062.225|4855.754 -10054.352|4854.964 -10046.457|4854.244 -10036.172|4848.645 -10036.161|4833.224 -10036.138|4830.763 -10036.105|4829.030 -10036.105|4819.075 -10036.083|4803.591 -10036.060|4803.326 -10036.060|4788.520 -10036.027|4787.940 -10036.038|4786.947 -10036.027|4754.336 -10035.971|4754.120 -10035.960|4752.826 -10035.994|4750.638 -10035.960|4749.988 -10035.960|4745.514 -10035.949|4740.824 -10035.938|4737.342 -10035.938|4734.924 -10035.927|4711.673 -10035.883|4711.037 -10035.883|4678.706 -10035.827|4666.186 -10035.805|4644.789 -10035.760|4640.783 -10035.760|4640.315 -10035.760|4637.302 -10035.749|4636.959 -10035.749|4596.855 -10035.671|4596.841 -10042.198|4596.799 -10083.196|4596.785 -10093.270|4596.736 -10134.257|4596.736 -10135.869|4596.708 -10156.785|4598.190 -10157.396|4610.004 -10162.000|4621.930 -10166.314|4633.960 -10170.328|4646.089 -10174.042|4654.470 -10176.400|4662.894 -10178.623|4671.352 -10180.692|4679.853 -10182.615|4691.632 -10185.017|4703.467 -10187.141|4714.078 -10188.787|4726.102 -10190.188|4738.167 -10191.155|4748.359 -10191.633
